Sr.No,Name,ProvinceName
193,Slivo Pole,Rousse Province
194,Kaspichan,Shumen Province
195,Apriltsi,Lovech Province
196,Belitsa,Blagoevgrad Province
197,Roman,Vratsa Province
198,Dzhebel,Kardzhali Province
199,Dolna Oryahovitsa,Veliko Tarnovo Province
200,Buhovo,Sofia City
201,Gurkovo,Stara Zagora Province
202,Pavel Banya,Stara Zagora Province
203,Nikolaevo,Stara Zagora Province
204,Yablanitsa,Lovech Province
205,Kableshkovo,Burgas Province
206,Opaka,Targovishte Province
207,Rila,Kyustendil Province
208,Ugarchin,Lovech Province
209,Dunavtsi,Vidin Province
210,Dobrinishte,Blagoevgrad Province
211,Hadzhidimovo,Blagoevgrad Province
212,Bregovo,Vidin Province
213,Byala Cherkva,Veliko Tarnovo Province
214,Zlataritsa,Veliko Tarnovo Province
215,Kocherinovo,Kyustendil Province
216,Dospat,Smolyan Province
217,Tran,Pernik Province
218,Sadovo,Plovdiv Province
219,Laki,Plovdiv Province
220,Koprivshtitsa,Sofia Province
221,Malko Tarnovo,Burgas Province
222,Loznitsa,Razgrad Province
223,Obzor,Burgas Province
224,Kilifarevo,Veliko Tarnovo Province
225,Borovo,Rousse Province
226,Batanovtsi,Pernik Province
227,Chernomorets,Burgas Province
228,Aheloy,Burgas Province
229,Byala,Varna Province
230,Pordim,Pleven Province
231,Suhindol,Veliko Tarnovo Province
232,Merichleri,Haskovo Province
233,Glavinitsa,Silistra Province
234,Chiprovtsi,Montana Province
235,Kermen,Sliven Province
236,Brezovo,Plovdiv Province
237,Plachkovtsi,Gabrovo Province
238,Zemen,Pernik Province
239,Balgarovo,Burgas Province
240,Alfatar,Silistra Province
241,Boychinovtsi,Montana Province
242,Gramada,Vidin Province
243,Senovo,Rousse Province
244,Momin Prohod,Sofia Province
245,Kaolinovo,Shumen Province
246,Shipka,Stara Zagora Province
247,Antonovo,Targovishte Province
248,Ahtopol,Burgas Province
249,Boboshevo,Kyustendil Province
250,Bolyarovo,Yambol Province
251,Brusartsi,Montana Province
252,Klisura,Plovdiv Province
253,Dimovo,Vidin Province
254,Kiten,Burgas Province
255,Pliska,Shumen Province
256,Madzharovo,Haskovo Province
257,Melnik,Blagoevgrad Province
